Gender,Event,Year,Medal,Result
M,100M Men,2021,G,9.80
M,100M Men,2021,B,9.89
M,200M Men,2021,G,19.62
M,200M Men,2021,B,19.74
M,400M Men,2021,G,43.85
M,400M Men,2021,B,44.19
M,800M Men,2021,G,1:45.06
M,800M Men,2021,B,1:45.39
M,1500M Men,2021,G,3:28.32
M,1500M Men,2021,B,3:29.05
W,100M Women,2021,G,10.61
W,100M Women,2021,B,10.76
W,200M Women,2021,G,21.53
W,200M Women,2021,B,21.87
W,400M Women,2021,G,48.36
W,400M Women,2021,B,49.46
W,800M Women,2021,G,1:55.21
W,800M Women,2021,B,1:56.81
W,1500M Women,2021,G,3:53.11
W,1500M Women,2021,B,3:55.86
